,family,father,mother,midparentHeight,children,childNum,gender,childHeight
0,1,78.5,67.0,75.43,4,1,male,73.2
1,1,78.5,67.0,75.43,4,2,female,69.2
2,1,78.5,67.0,75.43,4,3,female,69.0
3,1,78.5,67.0,75.43,4,4,female,69.0
4,2,75.5,66.5,73.66,4,1,male,73.5
5,2,75.5,66.5,73.66,4,2,male,72.5
6,2,75.5,66.5,73.66,4,3,female,65.5
7,2,75.5,66.5,73.66,4,4,female,65.5
8,3,75.0,64.0,72.06,2,1,male,71.0
9,3,75.0,64.0,72.06,2,2,female,68.0
10,4,75.0,64.0,72.06,5,1,male,70.5
11,4,75.0,64.0,72.06,5,2,male,68.5
12,4,75.0,64.0,72.06,5,3,female,67.0
13,4,75.0,64.0,72.06,5,4,female,64.5
14,4,75.0,64.0,72.06,5,5,female,63.0
15,5,75.0,58.5,69.09,6,1,male,72.0
16,5,75.0,58.5,69.09,6,2,male,69.0
17,5,75.0,58.5,69.09,6,3,male,68.0
18,5,75.0,58.5,69.09,6,4,female,66.5
19,5,75.0,58.5,69.09,6,5,female,62.5
20,5,75.0,58.5,69.09,6,6,female,62.5
21,6,74.0,68.0,73.72,1,1,female,69.5
22,7,74.0,68.0,73.72,6,1,male,76.5
23,7,74.0,68.0,73.72,6,2,male,74.0
24,7,74.0,68.0,73.72,6,3,male,73.0
25,7,74.0,68.0,73.72,6,4,male,73.0
26,7,74.0,68.0,73.72,6,5,female,70.5
27,7,74.0,68.0,73.72,6,6,female,64.0
28,8,74.0,66.5,72.91,3,1,female,70.5
29,8,74.0,66.5,72.91,3,2,female,68.0
30,8,74.0,66.5,72.91,3,3,female,66.0
31,9,74.5,66.0,72.89,1,1,female,66.0
32,10,74.0,65.5,72.37,1,1,female,65.5
33,11,74.0,62.0,70.48,8,1,male,74.0
34,11,74.0,62.0,70.48,8,2,male,70.0
35,11,74.0,62.0,70.48,8,3,female,68.0
36,11,74.0,62.0,70.48,8,4,female,67.0
37,11,74.0,62.0,70.48,8,5,female,67.0
38,11,74.0,62.0,70.48,8,6,female,66.0
39,11,74.0,62.0,70.48,8,7,female,63.5
40,11,74.0,62.0,70.48,8,8,female,63.0
41,12,74.0,61.0,69.94,1,1,female,65.0
42,13,73.0,67.0,72.68,2,1,male,71.0
43,13,73.0,67.0,72.68,2,2,female,62.0
44,14,73.0,67.0,72.68,2,1,male,68.0
45,14,73.0,67.0,72.68,2,2,male,67.0
46,15,73.0,66.5,72.41,3,1,male,71.0
47,15,73.0,66.5,72.41,3,2,male,70.5
48,15,73.0,66.5,72.41,3,3,female,66.7
49,16,73.0,65.0,71.6,9,1,male,72.0
50,16,73.0,65.0,71.6,9,2,male,70.5
51,16,73.0,65.0,71.6,9,3,male,70.2
52,16,73.0,65.0,71.6,9,4,male,70.2
53,16,73.0,65.0,71.6,9,5,male,69.2
54,16,73.0,65.0,71.6,9,6,female,68.7
55,16,73.0,65.0,71.6,9,7,female,66.5
56,16,73.0,65.0,71.6,9,8,female,64.5
57,16,73.0,65.0,71.6,9,9,female,63.5
58,17,73.0,64.5,71.33,6,1,male,74.0
59,17,73.0,64.5,71.33,6,2,male,73.0
60,17,73.0,64.5,71.33,6,3,male,71.5
61,17,73.0,64.5,71.33,6,4,male,62.5
62,17,73.0,64.5,71.33,6,5,female,66.5
63,17,73.0,64.5,71.33,6,6,female,62.3
64,18,73.0,64.0,71.06,3,1,female,66.0
65,18,73.0,64.0,71.06,3,2,female,64.5
66,18,73.0,64.0,71.06,3,3,female,64.0
67,19,73.2,63.0,70.62,1,1,female,62.7
68,20,72.7,69.0,73.61,8,1,male,73.2
69,20,72.7,69.0,73.61,8,2,male,73.0
70,20,72.7,69.0,73.61,8,3,male,72.7
71,20,72.7,69.0,73.61,8,4,female,70.0
72,20,72.7,69.0,73.61,8,5,female,69.0
73,20,72.7,69.0,73.61,8,6,female,68.5
74,20,72.7,69.0,73.61,8,7,female,68.0
75,20,72.7,69.0,73.61,8,8,female,66.0
76,21,72.0,68.0,72.72,3,1,male,73.0
77,21,72.0,68.0,72.72,3,2,female,68.5
78,21,72.0,68.0,72.72,3,3,female,68.0
79,22,72.0,67.0,72.18,3,1,male,73.0
80,22,72.0,67.0,72.18,3,2,male,71.0
81,22,72.0,67.0,72.18,3,3,female,67.0
82,23,72.0,65.0,71.1,7,1,male,74.2
83,23,72.0,65.0,71.1,7,2,male,70.5
84,23,72.0,65.0,71.1,7,3,male,69.5
85,23,72.0,65.0,71.1,7,4,female,66.0
86,23,72.0,65.0,71.1,7,5,female,65.5
87,23,72.0,65.0,71.1,7,6,female,65.0
88,23,72.0,65.0,71.1,7,7,female,65.0
89,24,72.0,65.5,71.37,1,1,female,65.5
90,25,72.0,64.0,70.56,2,1,female,66.0
91,25,72.0,64.0,70.56,2,2,female,63.0
92,26,72.0,63.0,70.02,5,1,male,70.5
93,26,72.0,63.0,70.02,5,2,male,70.5
94,26,72.0,63.0,70.02,5,3,male,69.0
95,26,72.0,63.0,70.02,5,4,female,65.0
96,26,72.0,63.0,70.02,5,5,female,63.0
97,27,72.0,63.0,70.02,3,1,male,69.0
98,27,72.0,63.0,70.02,3,2,male,67.0
99,27,72.0,63.0,70.02,3,3,female,63.0
100,28,72.0,63.0,70.02,6,1,male,73.0
101,28,72.0,63.0,70.02,6,2,male,67.0
102,28,72.0,63.0,70.02,6,3,female,70.5
103,28,72.0,63.0,70.02,6,4,female,70.0
104,28,72.0,63.0,70.02,6,5,female,66.5
105,28,72.0,63.0,70.02,6,6,female,63.0
106,29,72.5,63.5,70.54,3,1,female,67.5
107,29,72.5,63.5,70.54,3,2,female,67.2
108,29,72.5,63.5,70.54,3,3,female,66.7
109,30,72.0,62.0,69.48,1,1,female,64.0
110,31,72.5,62.0,69.73,6,1,male,71.0
111,31,72.5,62.0,69.73,6,2,male,70.0
112,31,72.5,62.0,69.73,6,3,male,70.0
113,31,72.5,62.0,69.73,6,4,female,66.0
114,31,72.5,62.0,69.73,6,5,female,65.0
115,31,72.5,62.0,69.73,6,6,female,65.0
116,32,72.0,62.0,69.48,5,1,male,74.0
117,32,72.0,62.0,69.48,5,2,male,72.0
118,32,72.0,62.0,69.48,5,3,male,69.0
119,32,72.0,62.0,69.48,5,4,female,67.5
120,32,72.0,62.0,69.48,5,5,female,63.5
121,33,72.0,62.0,69.48,5,1,male,72.0
122,33,72.0,62.0,69.48,5,2,male,71.5
123,33,72.0,62.0,69.48,5,3,male,71.5
124,33,72.0,62.0,69.48,5,4,male,70.0
125,33,72.0,62.0,69.48,5,5,female,68.0
126,34,72.0,61.0,68.94,1,1,female,65.7
127,35,71.0,69.0,72.76,5,1,male,78.0
128,35,71.0,69.0,72.76,5,2,male,74.0
129,35,71.0,69.0,72.76,5,3,male,73.0
130,35,71.0,69.0,72.76,5,4,male,72.0
131,35,71.0,69.0,72.76,5,5,female,67.0
132,36,71.0,67.0,71.68,4,1,male,73.2
133,36,71.0,67.0,71.68,4,2,male,73.0
134,36,71.0,67.0,71.68,4,3,male,69.0
135,36,71.0,67.0,71.68,4,4,female,67.0
136,37,71.0,66.0,71.14,4,1,male,70.0
137,37,71.0,66.0,71.14,4,2,female,67.0
138,37,71.0,66.0,71.14,4,3,female,67.0
139,37,71.0,66.0,71.14,4,4,female,66.5
140,38,71.0,66.0,71.14,6,1,male,70.0
141,38,71.0,66.0,71.14,6,2,male,69.0
142,38,71.0,66.0,71.14,6,3,male,68.5
143,38,71.0,66.0,71.14,6,4,female,66.0
144,38,71.0,66.0,71.14,6,5,female,64.5
145,38,71.0,66.0,71.14,6,6,female,63.0
146,39,71.0,66.0,71.14,2,1,male,71.0
147,39,71.0,66.0,71.14,2,2,female,67.0
148,40,71.0,66.0,71.14,5,1,male,76.0
149,40,71.0,66.0,71.14,5,2,male,72.0
150,40,71.0,66.0,71.14,5,3,male,71.0
151,40,71.0,66.0,71.14,5,4,male,66.0
152,40,71.0,66.0,71.14,5,5,female,66.0
153,41,71.7,65.5,71.22,1,1,male,70.5
154,42,71.0,65.5,70.87,6,1,male,72.0
155,42,71.0,65.5,70.87,6,2,male,72.0
156,42,71.0,65.5,70.87,6,3,male,71.0
157,42,71.0,65.5,70.87,6,4,male,69.0
158,42,71.0,65.5,70.87,6,5,female,66.0
159,42,71.0,65.5,70.87,6,6,female,65.0
160,43,71.5,65.5,71.12,2,1,male,73.0
161,43,71.5,65.5,71.12,2,2,female,65.2
162,44,71.5,65.0,70.85,2,1,male,68.5
163,44,71.5,65.0,70.85,2,2,male,67.7
164,45,71.0,65.0,70.6,3,1,male,68.0
165,45,71.0,65.0,70.6,3,2,male,68.0
166,45,71.0,65.0,70.6,3,3,female,62.0
167,46,71.0,64.0,70.06,8,1,female,68.0
168,46,71.0,64.0,70.06,8,2,female,68.0
169,46,71.0,64.0,70.06,8,3,female,67.5
170,46,71.0,64.0,70.06,8,4,female,66.5
171,46,71.0,64.0,70.06,8,5,female,66.5
172,46,71.0,64.0,70.06,8,6,female,66.0
173,46,71.0,64.0,70.06,8,7,female,65.5
174,46,71.0,64.0,70.06,8,8,female,65.0
175,47,71.7,64.5,70.68,4,1,male,72.0
176,47,71.7,64.5,70.68,4,2,male,71.0
177,47,71.7,64.5,70.68,4,3,male,70.5
178,47,71.7,64.5,70.68,4,4,female,67.0
179,48,71.0,64.0,70.06,3,1,male,68.0
180,48,71.0,64.0,70.06,3,2,male,68.0
181,48,71.0,64.0,70.06,3,3,male,68.0
182,49,71.5,64.5,70.58,7,1,male,72.0
183,49,71.5,64.5,70.58,7,2,male,71.0
184,49,71.5,64.5,70.58,7,3,male,70.0
185,49,71.5,64.5,70.58,7,4,female,66.0
186,49,71.5,64.5,70.58,7,5,female,64.5
187,49,71.5,64.5,70.58,7,6,female,64.5
188,49,71.5,64.5,70.58,7,7,female,62.0
189,50,71.0,64.5,70.33,2,1,male,73.0
190,50,71.0,64.5,70.33,2,2,female,62.0
191,51,71.2,63.0,69.62,2,1,female,67.5
192,51,71.2,63.0,69.62,2,2,female,64.5
193,52,71.0,63.5,69.79,5,1,male,71.0
194,52,71.0,63.5,69.79,5,2,male,67.0
195,52,71.0,63.5,69.79,5,3,female,66.0
196,52,71.0,63.5,69.79,5,4,female,65.0
197,52,71.0,63.5,69.79,5,5,female,63.5
198,53,71.0,63.0,69.52,9,1,male,71.0
199,53,71.0,63.0,69.52,9,2,male,70.0
200,53,71.0,63.0,69.52,9,3,male,70.0
201,53,71.0,63.0,69.52,9,4,male,64.0
202,53,71.0,63.0,69.52,9,5,female,65.0
203,53,71.0,63.0,69.52,9,6,female,65.0
204,53,71.0,63.0,69.52,9,7,female,64.0
205,53,71.0,63.0,69.52,9,8,female,63.0
206,53,71.0,63.0,69.52,9,9,female,63.0
207,54,71.0,63.0,69.52,4,1,male,71.0
208,54,71.0,63.0,69.52,4,2,male,71.0
209,54,71.0,63.0,69.52,4,3,male,70.0
210,54,71.0,63.0,69.52,4,4,female,63.5
211,55,71.0,62.0,68.98,5,1,male,71.0
212,55,71.0,62.0,68.98,5,2,male,70.0
213,55,71.0,62.0,68.98,5,3,female,64.5
214,55,71.0,62.0,68.98,5,4,female,62.5
215,55,71.0,62.0,68.98,5,5,female,61.5
216,56,71.0,62.0,68.98,5,1,male,72.0
217,56,71.0,62.0,68.98,5,2,male,70.5
218,56,71.0,62.0,68.98,5,3,male,70.5
219,56,71.0,62.0,68.98,5,4,female,64.5
220,56,71.0,62.0,68.98,5,5,female,60.0
221,57,71.0,62.5,69.25,5,1,male,70.0
222,57,71.0,62.5,69.25,5,2,female,64.0
223,57,71.0,62.5,69.25,5,3,female,64.0
224,57,71.0,62.5,69.25,5,4,female,64.0
225,57,71.0,62.5,69.25,5,5,female,62.5
226,58,71.0,62.0,68.98,7,1,male,70.5
227,58,71.0,62.0,68.98,7,2,male,70.0
228,58,71.0,62.0,68.98,7,3,male,69.0
229,58,71.0,62.0,68.98,7,4,male,69.0
230,58,71.0,62.0,68.98,7,5,male,66.0
231,58,71.0,62.0,68.98,7,6,female,64.5
232,58,71.0,62.0,68.98,7,7,female,64.0
233,59,71.0,61.0,68.44,1,1,female,62.0
234,60,71.0,58.0,66.82,2,1,male,71.5
235,60,71.0,58.0,66.82,2,2,male,69.0
236,61,70.0,69.0,72.26,4,1,male,71.0
237,61,70.0,69.0,72.26,4,2,male,70.0
238,61,70.0,69.0,72.26,4,3,male,69.0
239,61,70.0,69.0,72.26,4,4,female,69.0
240,62,70.0,69.0,72.26,6,1,male,70.0
241,62,70.0,69.0,72.26,6,2,male,68.7
242,62,70.0,69.0,72.26,6,3,female,68.0
243,62,70.0,69.0,72.26,6,4,female,66.0
244,62,70.0,69.0,72.26,6,5,female,64.0
245,62,70.0,69.0,72.26,6,6,female,62.0
246,63,70.0,68.0,71.72,1,1,male,75.0
247,64,70.0,67.0,71.18,5,1,male,70.0
248,64,70.0,67.0,71.18,5,2,male,69.0
249,64,70.0,67.0,71.18,5,3,female,66.0
250,64,70.0,67.0,71.18,5,4,female,64.0
251,64,70.0,67.0,71.18,5,5,female,60.0
252,65,70.0,67.0,71.18,1,1,female,67.5
253,66,70.0,66.5,70.91,11,1,male,73.0
254,66,70.0,66.5,70.91,11,2,male,72.0
255,66,70.0,66.5,70.91,11,3,male,72.0
256,66,70.0,66.5,70.91,11,4,male,66.5
257,66,70.0,66.5,70.91,11,5,female,69.2
258,66,70.0,66.5,70.91,11,6,female,67.2
259,66,70.0,66.5,70.91,11,7,female,66.5
260,66,70.0,66.5,70.91,11,8,female,66.0
261,66,70.0,66.5,70.91,11,9,female,66.0
262,66,70.0,66.5,70.91,11,10,female,64.2
263,66,70.0,66.5,70.91,11,11,female,63.7
264,67,70.5,65.0,70.35,4,1,male,72.0
265,67,70.5,65.0,70.35,4,2,male,70.2
266,67,70.5,65.0,70.35,4,3,male,69.0
267,67,70.5,65.0,70.35,4,4,male,68.5
268,68,70.5,65.0,70.35,5,1,female,68.0
269,68,70.5,65.0,70.35,5,2,female,65.0
270,68,70.5,65.0,70.35,5,3,female,61.5
271,68,70.5,65.0,70.35,5,4,female,61.0
272,68,70.5,65.0,70.35,5,5,female,61.0
273,69,70.0,65.0,70.1,8,1,male,73.0
274,69,70.0,65.0,70.1,8,2,male,72.0
275,69,70.0,65.0,70.1,8,3,male,70.5
276,69,70.0,65.0,70.1,8,4,male,65.0
277,69,70.0,65.0,70.1,8,5,male,65.0
278,69,70.0,65.0,70.1,8,6,female,64.5
279,69,70.0,65.0,70.1,8,7,female,63.0
280,69,70.0,65.0,70.1,8,8,female,62.0
281,70,70.0,65.0,70.1,5,1,male,67.0
282,70,70.0,65.0,70.1,5,2,male,65.0
283,70,70.0,65.0,70.1,5,3,female,64.5
284,70,70.0,65.0,70.1,5,4,female,62.5
285,70,70.0,65.0,70.1,5,5,female,62.5
286,71,70.0,65.0,70.1,6,1,male,70.0
287,71,70.0,65.0,70.1,6,2,male,70.0
288,71,70.0,65.0,70.1,6,3,female,67.0
289,71,70.0,65.0,70.1,6,4,female,65.0
290,71,70.0,65.0,70.1,6,5,female,65.0
291,71,70.0,65.0,70.1,6,6,female,63.0
292,72,70.0,65.0,70.1,7,1,male,79.0
293,72,70.0,65.0,70.1,7,2,male,75.0
294,72,70.0,65.0,70.1,7,3,male,71.0
295,72,70.0,65.0,70.1,7,4,female,69.0
296,72,70.0,65.0,70.1,7,5,female,67.0
297,72,70.0,65.0,70.1,7,6,female,65.7
298,72,70.0,65.0,70.1,7,7,female,62.0
299,73,70.0,65.0,70.1,3,1,male,73.0
300,73,70.0,65.0,70.1,3,2,male,72.5
301,73,70.0,65.0,70.1,3,3,female,65.0
302,74,70.0,65.0,70.1,2,1,male,69.0
303,74,70.0,65.0,70.1,2,2,male,69.0
304,75,70.0,64.7,69.938,7,1,male,72.0
305,75,70.0,64.7,69.938,7,2,male,70.0
306,75,70.0,64.7,69.938,7,3,male,68.7
307,75,70.0,64.7,69.938,7,4,female,66.5
308,75,70.0,64.7,69.938,7,5,female,65.5
309,75,70.0,64.7,69.938,7,6,female,64.7
310,75,70.0,64.7,69.938,7,7,female,64.5
311,76,70.0,64.0,69.56,7,1,male,70.7
312,76,70.0,64.0,69.56,7,2,male,70.0
313,76,70.0,64.0,69.56,7,3,male,68.0
314,76,70.0,64.0,69.56,7,4,male,67.0
315,76,70.0,64.0,69.56,7,5,male,66.0
316,76,70.0,64.0,69.56,7,6,male,65.0
317,76,70.0,64.0,69.56,7,7,female,67.0
318,77,70.0,64.0,69.56,4,1,male,70.0
319,77,70.0,64.0,69.56,4,2,male,68.0
320,77,70.0,64.0,69.56,4,3,male,66.7
321,77,70.0,64.0,69.56,4,4,female,65.5
322,78,70.0,64.2,69.668,5,1,male,72.0
323,78,70.0,64.2,69.668,5,2,male,70.0
324,78,70.0,64.2,69.668,5,3,female,62.5
325,78,70.0,64.2,69.668,5,4,female,61.2
326,78,70.0,64.2,69.668,5,5,female,60.1
327,79,70.5,64.0,69.81,8,1,male,74.0
328,79,70.5,64.0,69.81,8,2,male,69.5
329,79,70.5,64.0,69.81,8,3,male,69.0
330,79,70.5,64.0,69.81,8,4,male,68.0
331,79,70.5,64.0,69.81,8,5,male,68.0
332,79,70.5,64.0,69.81,8,6,male,68.0
333,79,70.5,64.0,69.81,8,7,female,65.5
334,79,70.5,64.0,69.81,8,8,female,65.0
335,80,70.5,64.5,70.08,1,1,female,60.0
336,81,70.0,64.0,69.56,4,1,male,68.0
337,81,70.0,64.0,69.56,4,2,female,65.0
338,81,70.0,64.0,69.56,4,3,female,64.0
339,81,70.0,64.0,69.56,4,4,female,62.0
340,82,70.0,64.0,69.56,9,1,male,71.0
341,82,70.0,64.0,69.56,9,2,male,70.0
342,82,70.0,64.0,69.56,9,3,male,70.0
343,82,70.0,64.0,69.56,9,4,male,70.0
344,82,70.0,64.0,69.56,9,5,male,69.5
345,82,70.0,64.0,69.56,9,6,male,68.5
346,82,70.0,64.0,69.56,9,7,female,69.0
347,82,70.0,64.0,69.56,9,8,female,65.0
348,82,70.0,64.0,69.56,9,9,female,64.0
349,83,70.0,63.7,69.398,8,1,male,70.0
350,83,70.0,63.7,69.398,8,2,male,67.0
351,83,70.0,63.7,69.398,8,3,male,65.5
352,83,70.0,63.7,69.398,8,4,female,63.7
353,83,70.0,63.7,69.398,8,5,female,63.2
354,83,70.0,63.7,69.398,8,6,female,62.5
355,83,70.0,63.7,69.398,8,7,female,62.2
356,83,70.0,63.7,69.398,8,8,female,61.0
357,84,70.5,63.0,69.27,4,1,male,70.0
358,84,70.5,63.0,69.27,4,2,male,68.5
359,84,70.5,63.0,69.27,4,3,female,65.5
360,84,70.5,63.0,69.27,4,4,female,63.5
361,85,70.5,63.0,69.27,5,1,male,72.5
362,85,70.5,63.0,69.27,5,2,male,69.0
363,85,70.5,63.0,69.27,5,3,male,67.0
364,85,70.5,63.0,69.27,5,4,female,64.5
365,85,70.5,63.0,69.27,5,5,female,64.0
366,86,70.0,63.5,69.29,4,1,male,71.0
367,86,70.0,63.5,69.29,4,2,male,67.5
368,86,70.0,63.5,69.29,4,3,female,67.5
369,86,70.0,63.5,69.29,4,4,female,63.5
370,87,70.0,63.0,69.02,4,1,male,68.0
371,87,70.0,63.0,69.02,4,2,male,67.0
372,87,70.0,63.0,69.02,4,3,female,63.7
373,87,70.0,63.0,69.02,4,4,female,62.0
374,88,70.0,63.0,69.02,4,1,male,70.0
375,88,70.0,63.0,69.02,4,2,male,66.5
376,88,70.0,63.0,69.02,4,3,female,62.0
377,88,70.0,63.0,69.02,4,4,female,61.0
378,89,70.5,62.0,68.73,8,1,male,72.0
379,89,70.5,62.0,68.73,8,2,male,70.0
380,89,70.5,62.0,68.73,8,3,male,69.5
381,89,70.5,62.0,68.73,8,4,male,69.5
382,89,70.5,62.0,68.73,8,5,male,68.0
383,89,70.5,62.0,68.73,8,6,female,65.0
384,89,70.5,62.0,68.73,8,7,female,64.0
385,89,70.5,62.0,68.73,8,8,female,63.0
386,90,70.3,62.7,69.008,7,1,male,70.7
387,90,70.3,62.7,69.008,7,2,male,69.7
388,90,70.3,62.7,69.008,7,3,male,69.2
389,90,70.3,62.7,69.008,7,4,male,65.2
390,90,70.3,62.7,69.008,7,5,female,64.0
391,90,70.3,62.7,69.008,7,6,female,63.5
392,90,70.3,62.7,69.008,7,7,female,63.2
393,91,70.5,62.0,68.73,3,1,male,72.0
394,91,70.5,62.0,68.73,3,2,male,72.0
395,91,70.5,62.0,68.73,3,3,female,60.0
396,92,70.0,61.0,67.94,2,1,male,71.2
397,92,70.0,61.0,67.94,2,2,male,67.0
398,93,70.0,60.0,67.4,4,1,male,67.0
399,93,70.0,60.0,67.4,4,2,male,64.5
400,93,70.0,60.0,67.4,4,3,female,65.0
401,93,70.0,60.0,67.4,4,4,female,63.0
402,94,70.0,60.0,67.4,2,1,female,65.0
403,94,70.0,60.0,67.4,2,2,female,65.0
404,95,70.0,58.5,66.59,3,1,male,71.5
405,95,70.0,58.5,66.59,3,2,male,64.5
406,95,70.0,58.5,66.59,3,3,female,63.0
407,96,70.0,58.0,66.32,5,1,male,72.0
408,96,70.0,58.0,66.32,5,2,male,66.0
409,96,70.0,58.0,66.32,5,3,female,66.0
410,96,70.0,58.0,66.32,5,4,female,65.0
411,96,70.0,58.0,66.32,5,5,female,63.0
412,97,69.0,68.5,71.49,10,1,male,75.0
413,97,69.0,68.5,71.49,10,2,male,71.0
414,97,69.0,68.5,71.49,10,3,male,70.0
415,97,69.0,68.5,71.49,10,4,female,66.0
416,97,69.0,68.5,71.49,10,5,female,66.0
417,97,69.0,68.5,71.49,10,6,female,65.5
418,97,69.0,68.5,71.49,10,7,female,65.0
419,97,69.0,68.5,71.49,10,8,female,65.0
420,97,69.0,68.5,71.49,10,9,female,64.0
421,97,69.0,68.5,71.49,10,10,female,64.0
422,98,69.0,67.0,70.68,1,1,female,64.0
423,99,69.0,66.0,70.14,8,1,male,73.0
424,99,69.0,66.0,70.14,8,2,male,72.0
425,99,69.0,66.0,70.14,8,3,male,71.7
426,99,69.0,66.0,70.14,8,4,male,71.5
427,99,69.0,66.0,70.14,8,5,female,65.5
428,99,69.0,66.0,70.14,8,6,female,65.0
429,99,69.0,66.0,70.14,8,7,female,62.7
430,99,69.0,66.0,70.14,8,8,female,62.5
431,100,69.0,66.0,70.14,3,1,male,71.2
432,100,69.0,66.0,70.14,3,2,male,71.0
433,100,69.0,66.0,70.14,3,3,male,70.0
434,101,69.0,66.7,70.518,4,1,male,75.0
435,101,69.0,66.7,70.518,4,2,male,74.0
436,101,69.0,66.7,70.518,4,3,male,72.0
437,101,69.0,66.7,70.518,4,4,male,68.5
438,102,69.0,66.0,70.14,6,1,male,70.0
439,102,69.0,66.0,70.14,6,2,male,68.5
440,102,69.0,66.0,70.14,6,3,male,68.0
441,102,69.0,66.0,70.14,6,4,female,65.0
442,102,69.0,66.0,70.14,6,5,female,63.0
443,102,69.0,66.0,70.14,6,6,female,62.5
444,103,69.0,66.5,70.41,7,1,male,73.0
445,103,69.0,66.5,70.41,7,2,male,71.0
446,103,69.0,66.5,70.41,7,3,male,70.5
447,103,69.0,66.5,70.41,7,4,male,70.5
448,103,69.0,66.5,70.41,7,5,male,67.0
449,103,69.0,66.5,70.41,7,6,male,66.0
450,103,69.0,66.5,70.41,7,7,female,61.0
451,104,69.5,66.5,70.66,4,1,male,70.5
452,104,69.5,66.5,70.66,4,2,male,67.5
453,104,69.5,66.5,70.66,4,3,female,64.5
454,104,69.5,66.5,70.66,4,4,female,64.0
455,105,69.0,66.5,70.41,6,1,male,71.0
456,105,69.0,66.5,70.41,6,2,female,68.5
457,105,69.0,66.5,70.41,6,3,female,67.5
458,105,69.0,66.5,70.41,6,4,female,66.0
459,105,69.0,66.5,70.41,6,5,female,63.0
460,105,69.0,66.5,70.41,6,6,female,63.0
461,106,69.5,66.0,70.39,7,1,male,71.0
462,106,69.5,66.0,70.39,7,2,male,71.0
463,106,69.5,66.0,70.39,7,3,male,70.5
464,106,69.5,66.0,70.39,7,4,male,70.5
465,106,69.5,66.0,70.39,7,5,female,66.5
466,106,69.5,66.0,70.39,7,6,female,65.5
467,106,69.5,66.0,70.39,7,7,female,64.5
468,107,69.0,66.0,70.14,9,1,male,73.0
469,107,69.0,66.0,70.14,9,2,male,72.0
470,107,69.0,66.0,70.14,9,3,male,69.0
471,107,69.0,66.0,70.14,9,4,male,69.0
472,107,69.0,66.0,70.14,9,5,female,66.5
